"player","points_2014","points_2015"
"Aaron Brooks",9,11.6
"Andre Miller",4.9,4.4
"Austin Rivers",7.7,7
"Avery Bradley",14.9,13.9
"Brandon Knight",17.9,17
"Brian Roberts",9.4,6.7
"Chris Paul",19.1,19.1
"Cory Joseph",5,6.8
"D.J. Augustin",13.1,9.5
"Damian Lillard",20.7,21
"Deron Williams",14.3,13
"Goran Dragic",20.3,16.3
"Greivis Vasquez",9.6,9.5
"Isaiah Thomas",20.3,16.4
"J.J. Barea",8.4,7.5
"Jameer Nelson",12.1,8.3
"Jarrett Jack",9.5,12
"Jeff Teague",16.5,15.9
"Jeremy Lin",12.5,11.2
"Jerryd Bayless",9.3,7.8
"John Wall",19.3,17.6
"Kemba Walker",17.7,17.3
"Kyle Lowry",17.9,17.8
"Kyrie Irving",20.8,21.7
"Mario Chalmers",9.8,10.2
"Matthew Dellavedova",4.7,4.8
"Michael Carter-Williams",16.7,14.6
"Mike Conley",17.2,15.8
"Mo Williams",9.7,14.2
"Norris Cole",6.4,7.6
"Pablo Prigioni",3.8,4.1
"Ramon Sessions",12.3,6.3
"Reggie Jackson",13.1,14.5
"Rodney Stuckey",13.9,12.6
"Shaun Livingston",8.3,5.9
"Stephen Curry",24,23.8
"Tony Parker",16.7,14.4
"Trey Burke",12.8,12.8
"Ty Lawson",17.6,15.2
